tag 1,pct 1,tag 2,pct 2,tag 3,pct 3,tag 4,pct 4,tag 5,pct 5
40s,0.32443145,50s,0.28103077,60s,0.15058917,20s,0.084549196,30s,0.08272421
30s,0.39221576,50s,0.34221384,20s,0.13446926,60s,0.057959575,70s,0.03686208
30s,0.4826979,50s,0.23541142,20s,0.12439804,60s,0.094403885,70s,0.044557065
50s,0.42020315,40s,0.18947436,00s,0.12802391,10s,0.11425834,20s,0.08575654
50s,0.6898493,40s,0.28739303,60s,0.0056140916,10s,0.0055941646,00s,0.004255911
50s,0.555636,40s,0.2142465,30s,0.050638754,20s,0.048468657,60s,0.041966032
50s,0.91131616,40s,0.034501694,30s,0.021745352,70s,0.016777454,20s,0.00483333
10s,0.34944385,50s,0.21571876,00s,0.19440918,40s,0.1559026,20s,0.05153314
60s,0.44789866,30s,0.19909656,70s,0.1586139,50s,0.15230854,40s,0.02187848
50s,0.6294303,40s,0.21375914,20s,0.036079455,10s,0.0326772,30s,0.02627121
50s,0.43158743,40s,0.2945169,10s,0.14031021,00s,0.091067135,20s,0.026650453
50s,0.64351827,40s,0.24322675,00s,0.0443905,10s,0.029726468,70s,0.019188734
50s,0.8161893,40s,0.16088532,10s,0.00875551,00s,0.008374724,20s,0.0018512916
50s,0.72757924,40s,0.21802719,10s,0.023203319,00s,0.014610209,30s,0.006044616
30s,0.4280971,50s,0.23203452,20s,0.19035701,60s,0.05792073,40s,0.04657938
50s,0.5076941,40s,0.3200612,60s,0.1474717,70s,0.015259872,00s,0.0030710704
50s,0.9336211,40s,0.04907828,30s,0.00420394,20s,0.0034037256,70s,0.002771772
50s,0.26041543,10s,0.25564888,40s,0.1601744,00s,0.14807707,20s,0.09745895
50s,0.5248247,40s,0.35118845,10s,0.056250587,00s,0.041920736,20s,0.012015765
50s,0.928427,40s,0.043184955,30s,0.008311598,10s,0.0051970356,00s,0.0049857055
50s,0.409571,40s,0.336724,10s,0.10748129,00s,0.057914037,20s,0.047620602
50s,0.76274025,40s,0.15354273,30s,0.03439002,60s,0.01627077,70s,0.01419133
10s,0.36086196,40s,0.22837491,50s,0.2113557,00s,0.14500338,20s,0.03270114
50s,0.8460753,40s,0.1114025,60s,0.015610527,30s,0.01051304,20s,0.0054588546
50s,0.3382069,30s,0.293918,20s,0.15917757,40s,0.09962412,00s,0.049463265
50s,0.70730865,40s,0.1598989,30s,0.035184804,20s,0.031339657,10s,0.028954964
50s,0.818038,40s,0.15989564,00s,0.0074732015,10s,0.006663997,30s,0.002897795
50s,0.34110522,20s,0.19594152,40s,0.17642978,10s,0.08776658,30s,0.07245305
50s,0.5344556,40s,0.18652289,60s,0.14512637,70s,0.055554558,20s,0.02632138
50s,0.5132673,40s,0.34752464,60s,0.0504855,30s,0.027212093,70s,0.018829763
50s,0.94212186,40s,0.0379614,60s,0.009636591,70s,0.004385736,30s,0.003217188
30s,0.28445938,50s,0.25003356,20s,0.12597139,40s,0.12358164,10s,0.08637976
50s,0.9007873,40s,0.08842577,10s,0.002343926,00s,0.0023296815,60s,0.0019285145
50s,0.90869975,40s,0.066295214,70s,0.014353222,60s,0.0030145466,00s,0.0024994055
50s,0.85606986,40s,0.13441709,60s,0.0046561733,70s,0.0012348278,30s,0.0011188816
50s,0.6872598,60s,0.12974727,40s,0.0674754,30s,0.052492,70s,0.033191018
50s,0.31938273,30s,0.24109131,20s,0.21849722,40s,0.08342659,60s,0.06347063
30s,0.555143,50s,0.2700411,70s,0.07274728,20s,0.03902177,60s,0.0360316
